test_case,description,first_name,last_name,email,dob,address,city,state,country,postcode,phone,expected_status,expected_message
TC_PROFILE_001,Valid complete profile update,John,Doe,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,New York,NY,USA,10001,1234567890,200,Profile updated successfully
TC_PROFILE_002,Valid minimal profile update,Jane,Smith,customer@practicesoftwaretesting.com,1985-06-15,456 Oak Ave,Boston,MA,USA,02101,,200,Profile updated successfully
TC_PROFILE_003,Empty first name validation,,Doe,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,Test City,Test State,Test Country,12345,1234567890,422,The first name field is required
TC_PROFILE_004,First name 1 character,A,Doe,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,Test City,Test State,Test Country,12345,1234567890,200,Profile updated successfully
TC_PROFILE_005,First name 40 characters,Abcdefghijklmnopqrstuvwxyz1234567890abcd,Doe,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,Test City,Test State,Test Country,12345,1234567890,200,Profile updated successfully
TC_PROFILE_006,First name 41 characters,Abcdefghijklmnopqrstuvwxyz1234567890abcde,Doe,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,Test City,Test State,Test Country,12345,1234567890,422,The first name field must not be greater than 40 characters
TC_PROFILE_007,Empty last name validation,John,,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,Test City,Test State,Test Country,12345,1234567890,422,The last name field is required
TC_PROFILE_008,Last name 21 characters,John,Abcdefghijklmnopqrstu,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,Test City,Test State,Test Country,12345,1234567890,422,The last name field must not be greater than 20 characters
TC_PROFILE_011,Under 18 years old,John,Doe,customer@practicesoftwaretesting.com,2007-01-02,123 Main St,Test City,Test State,Test Country,12345,1234567890,422,You must be at least 18 years old
TC_PROFILE_012,Exactly 18 years old,John,Doe,customer@practicesoftwaretesting.com,2006-01-01,123 Main St,Test City,Test State,Test Country,12345,1234567890,200,Profile updated successfully
TC_PROFILE_013,Future birth date,John,Doe,customer@practicesoftwaretesting.com,2030-01-01,123 Main St,New York,NY,USA,10001,1234567890,422,The birth date cannot be in the future
TC_PROFILE_014,Address 71 characters,John,Doe,customer@practicesoftwaretesting.com,1990-01-01,Abcdefghijklmnopqrstuvwxyz1234567890Abcdefghijklmnopqrstuvwxyz1234567,Test City,Test State,Test Country,12345,1234567890,422,The address field must not be greater than 70 characters
TC_PROFILE_015,City 41 characters,John,Doe,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,Abcdefghijklmnopqrstuvwxyz1234567890abcde,Test State,Test Country,12345,1234567890,422,The city field must not be greater than 40 characters
TC_PROFILE_016,Country 41 characters,John,Doe,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,Test City,Test State,Abcdefghijklmnopqrstuvwxyz1234567890abcde,12345,1234567890,422,The country field must not be greater than 40 characters
TC_PROFILE_017,Postcode 11 characters,John,Doe,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,Test City,Test State,Test Country,12345678901,1234567890,422,The postcode field must not be greater than 10 characters
TC_PROFILE_018,Phone 25 characters,John,Doe,customer@practicesoftwaretesting.com,1990-01-01,123 Main St,Test City,Test State,Test Country,12345,1234567890123456789012345,422,The phone field must not be greater than 24 characters
TC_PROFILE_019,Special characters in name,José,O'Connor,customer@practicesoftwaretesting.com,1992-12-05,123 Main St,Test City,Test State,Test Country,12345,1234567890,200,Profile updated successfully
TC_PROFILE_020,International profile,Hans,Mueller,customer@practicesoftwaretesting.com,1988-03-20,Hauptstraße 123,Berlin,Berlin,Germany,10115,+49123456789,200,Profile updated successfully
TC_PROFILE_010,Email 257 characters,John,Doe,a1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456@example.com,1990-01-01,123 Main St,Test City,Test State,Test Country,12345,1234567890,422,The email field must not be greater than 256 characters
TC_PROFILE_009,Invalid email format,John,Doe,invalid-email,1990-01-01,123 Main St,New York,NY,USA,10001,1234567890,422,The email field must be a valid email address
